	3A_1_log2FC	3A_1_padj	3A_12_log2FC	3A_12_padj	3Amk_1_log2FC	3Amk_1_padj	3Amk_12_log2FC	3Amk_12_padj
thrL	0.531517183564201	0.765176501701537	2.15189217509616	0.0300017522751796	-2.44803845101685	0.0750212354276036	1.39585038647071	0.182352215260025
thrA	0.210949141371992	0.668567072735441	4.32387575141846	1.0540185853053e-65	-0.377687915263405	0.295447458862655	1.4991733730575	2.2039818194341e-08
thrB	-0.0171917063496333	0.977552002547459	3.61427826639012	2.02097633310314e-37	-0.191825915056091	0.675031404575759	0.708383478021948	0.0329253898743767
thrC	0.0842445998171431	0.940977496472454	4.60865593191858	8.08889877991266e-20	-0.868597323667392	0.138092702534269	1.73145996192867	0.00209745659867316
yaaX	0.908413206348474	0.706663285178114	5.70662380832406	0.00709087204212881	0.324395794096029	0.907491442382849	2.37400069760615	0.327474046622766
yaaA	-0.161868707456972	0.918185187031837	-0.717158664227621	0.518202239184039	0.169569783774622	0.906390979674765	-1.0142270991219	0.345369920015464
yaaJ	0.336556704042887	0.809854427797863	4.38272079985923	0.0135243724260145	0.591689712521845	0.570212726630057	3.81973481445849	0.0351238998293514
talB	-0.17005966715141	0.710047003657395	0.57559813881588	0.0349645082664264	-0.135856732715266	0.748344960189465	-0.205900992060308	0.504634503241255
mog	0.454496037875245	0.171495337237346	-0.54504969649295	0.0989475884584422	0.0340007729046834	0.950773291648745	-0.38081851429251	0.267242902783253
yaaH	0.402681856658648	0.833772431932406	-0.853480213368363	0.529377731502345	0.683061468810432	0.643049678003335	0.909663949520694	0.480431742285505
yaaW	0.21044516847084	0.946614918285766	-0.656135037739482	0.750630799019063	0.00280225444803596	0.999002980607592	-1.54564771198087	0.417964782852683
yaaI	1.26751725559309	NA	-2.33853773340375	NA	-3.3240164593239	NA	-2.1273403744674	NA
dnaK	1.87850515731759	2.00606646074215e-20	-6.45994449526636	3.79844346831638e-240	3.16130336895553	1.18201142607132e-57	-4.6904850448008	2.21844984274266e-127
dnaJ	1.80490848384863	1.21873362171849e-11	-5.82663898078011	6.40480450372102e-108	2.19650179817547	5.19652847170782e-17	-4.16605545280882	4.61972616650243e-60
insL	0.991286406878991	0.000489206275813796	-4.23480640205746	5.17888004767697e-64	1.39167695243242	1.72203578723976e-07	-2.82868444305727	8.05749739981065e-30
hokC	-0.327070132102349	0.888137868079716	-3.23992339453113	0.00409784588612035	-2.27416382494278	0.0800142090118838	-3.16037386375421	0.00553377587506427
nhaA	-1.14003040309822	6.44329889407278e-05	1.75348529192989	1.05660788314415e-09	-0.632841165466866	0.0469130262505794	-0.117909318423251	0.759002705517017
nhaR	-1.01283309930898	0.00128777660329457	0.581430367218807	0.0833160605965291	-0.296356981073141	0.474654588045412	-0.20364417688843	0.589742939075982
insB	-0.0139831667119642	0.989217546743298	-2.5747244414125	2.72034380736948e-11	1.53825264371472	8.32135398450395e-05	-0.490251059516794	0.275669400351005
