	WT-0-1	WT-0-2	WT-1-1	WT-1-2	WT-12-1	WT-12-3	3A-0-1	3A-0-2	3A-1-1	3A-1-2	3A-12-1	3A-12-2	3Amk-0-1	3Amk-0-2	3Amk-1-2	3Amk-1-3	3Amk-12-1	3Amk-12-2
thrL	5.55846964552997	4.51078547676345	5.268723108312	5.36843217648358	8.69677842565116	7.44946317218536	5.46244250095496	5.98266104114799	4.48343084748581	6.48614243326394	10.2042834279627	10.4260587021208	4.63301649512703	6.73339167567101	0	4.24740775652164	9.28474393922627	9.80102654361053
thrA	5.04105956774352	4.94432612862754	5.83880895776326	5.75807568114764	7.68017581613515	7.88844518667348	7.31713812920617	6.97816451761855	6.12732230311511	5.87776012721653	12.1948121428388	12.0160494989492	7.58751443958869	7.85464856287633	5.73420182251943	5.02061900892492	9.46972483280381	9.07316943756881
thrB	5.60605550248578	5.97429385498502	7.10754480705094	6.82080001865562	6.8842230813155	7.94763017103777	8.01581800346329	8.17239683959083	6.7625889150839	7.12180583135897	11.1882779881877	11.1035847873198	8.73178033714672	8.84936275142665	6.88529838965064	6.66609463886977	8.27311591087151	8.21526248342295
thrC	4.79039020082393	4.42892492996329	4.50941400659309	4.59119974173871	2.88135019960795	5.41245349526394	6.27126797445142	6.4109837896538	4.50679953091569	4.74200227166739	9.184659119185	9.37121364450106	6.55031419401251	6.37570049633432	4.21388986519234	2.89899802713379	6.73083722273869	6.00865770345775
yaaX	2.48413473051018	2.54691293263643	3.5349965045956	2.0571375663389	0	0	4.3146940839515	3.41263288267435	4.37754994640195	2.91957956805437	6.40050107184146	6.02941515693605	4.56553139320783	4.8929670745302	4.14874315479561	0	2.42490388213334	3.54177461533313
yaaA	6.03817340024122	6.22997285339511	5.15365147984264	4.30243252180728	3.91308674431798	3.73352822380392	5.90105351639483	5.76436273118205	4.45114485462219	4.7989020998549	3.7118507145969	2.2288948992414	5.69646188994548	5.41239984633489	5.46706910653084	4.12350431620592	1.69025926430781	3.63159335850948
yaaJ	3.58543847650897	3.91403919035422	3.99891618756761	4.76223527522263	0	1.22397688305968	4.0966795217841	4.10610371288613	5.22751886227763	4.0457088149781	4.04730170695619	4.19800714288551	3.43377896136182	4.65248059426837	5.02593576621851	4.96764660912922	2.46854039701738	4.25689377973367
talB	11.2777076113671	11.0562475512108	11.1035086992176	10.4309290390424	9.32752013032077	9.30426347377359	11.1198289459356	11.1527014321284	10.5838341544866	10.6869184048994	9.95440458906904	9.82347485745403	10.8379073427418	10.7851328045834	10.7278559182756	10.6106070382921	9.30745022351869	8.87747460248873
mog	8.80001744252555	8.98102704495817	8.4712561839037	8.9277746710129	7.7463873412626	7.83655320522295	8.61291225849576	8.75052665919552	9.24278840890899	9.09396667080094	7.46108756291386	7.0057666140896	8.50375951508975	8.63836637296976	8.72169385915224	8.77893747686901	7.55367912764794	7.25400533204373
yaaH	1.4148466354361	2.40097372119934	3.59644224440064	3.48703131469584	4.90257948969448	2.95291145297077	3.27976611541149	2.82069458408253	4.38537604368343	3.24281302105779	3.78830823991697	2.78572701523416	4.15616996686553	3.93054729234162	4.69897629000835	3.30762905835069	4.02326252284102	5.64597357533812
